model -1589867511,1589867520.713,0.42,0.2518,0.51,0.2495
model -1589867511,1589867520.914,0.38,0.2519,0.62,0.2484
model -1589867511,1589867521.121,0.58,0.2488,0.65,0.2487
model -1589867511,1589867521.344,0.61,0.2492,0.61,0.249
model -1589867511,1589867521.556,0.59,0.2493,0.58,0.2494
model -1589867511,1589867521.755,0.59,0.2488,0.54,0.2495
model -1589867511,1589867521.956,0.51,0.249,0.51,0.2496
model -1589867511,1589867522.163,0.49,0.2488,0.45,0.2491
model -1589867511,1589867522.388,0.59,0.2472,0.5,0.2486
model -1589867511,1589867522.589,0.51,0.2474,0.54,0.2474
model -1589867511,1589867522.788,0.54,0.2469,0.52,0.2467
model -1589867511,1589867522.989,0.45,0.2514,0.41,0.2545
model -1589867511,1589867523.2,0.49,0.2479,0.45,0.2497
model -1589867511,1589867523.44,0.53,0.2474,0.48,0.2489
model -1589867511,1589867523.65,0.6,0.2433,0.48,0.2494
model -1589867511,1589867523.859,0.44,0.2505,0.53,0.2495
model -1589867511,1589867524.064,0.52,0.247,0.66,0.2453
model -1589867511,1589867524.295,0.63,0.2463,0.62,0.2445
model -1589867511,1589867524.506,0.64,0.2442,0.51,0.2467
model -1589867511,1589867524.715,0.53,0.2463,0.47,0.2494
model -1589867511,1589867524.917,0.52,0.2478,0.54,0.2465
model -1589867511,1589867525.119,0.55,0.25,0.49,0.2479
model -1589867511,1589867525.348,0.62,0.2364,0.49,0.2568
model -1589867511,1589867525.56,0.47,0.2641,0.63,0.2428
model -1589867511,1589867525.764,0.6,0.2398,0.55,0.2439
model -1589867511,1589867525.974,0.59,0.2431,0.56,0.2468
model -1589867511,1589867526.189,0.6,0.2438,0.54,0.2448
model -1589867511,1589867526.415,0.58,0.2391,0.6,0.2398
model -1589867511,1589867526.618,0.57,0.2445,0.68,0.2356
model -1589867511,1589867526.832,0.56,0.2426,0.65,0.2339
model -1589867511,1589867527.099,0.55,0.2442,0.5,0.2505
model -1589867511,1589867527.308,0.54,0.2348,0.53,0.2474
model -1589867511,1589867527.538,0.48,0.2608,0.62,0.2388
model -1589867511,1589867527.741,0.64,0.2289,0.48,0.263
model -1589867511,1589867527.956,0.53,0.2455,0.46,0.2721
model -1589867511,1589867528.167,0.57,0.2372,0.53,0.2461
model -1589867511,1589867528.399,0.48,0.2576,0.58,0.2483
model -1589867511,1589867528.605,0.54,0.2463,0.54,0.249
model -1589867511,1589867528.806,0.57,0.2448,0.6,0.2363
model -1589867511,1589867529.017,0.56,0.2395,0.55,0.2536
model -1589867511,1589867529.259,0.66,0.2331,0.5,0.2629
model -1589867511,1589867529.482,0.53,0.2585,0.55,0.2478
model -1589867511,1589867529.788,0.55,0.2443,0.53,0.2512
model -1589867511,1589867530.094,0.59,0.2311,0.53,0.2453
model -1589867511,1589867530.447,0.56,0.2409,0.64,0.2336
model -1589867511,1589867530.768,0.59,0.2383,0.61,0.2413
model -1589867511,1589867531.095,0.55,0.2446,0.61,0.233
model -1589867511,1589867531.363,0.52,0.2461,0.68,0.2373
model -1589867511,1589867531.7,0.64,0.2385,0.65,0.2349
model -1589867511,1589867532.046,0.64,0.2362,0.7,0.2322
model -1589867511,1589867532.389,0.54,0.2424,0.52,0.2417
model -1589867511,1589867532.774,0.56,0.2473,0.5,0.2467
model -1589867511,1589867533.098,0.63,0.2373,0.6,0.241
model -1589867511,1589867533.411,0.58,0.2343,0.6,0.2401
model -1589867511,1589867533.757,0.72,0.2233,0.64,0.2388
model -1589867511,1589867534.092,0.53,0.2456,0.64,0.2276
model -1589867511,1589867534.44,0.62,0.2332,0.56,0.2345
model -1589867511,1589867534.827,0.61,0.2336,0.6,0.2291
model -1589867511,1589867535.129,0.59,0.2444,0.55,0.2509
model -1589867511,1589867535.425,0.56,0.2387,0.62,0.2261
model -1589867511,1589867535.744,0.58,0.2409,0.61,0.2224
model -1589867511,1589867536.088,0.53,0.2545,0.48,0.2514
model -1589867511,1589867536.439,0.61,0.2252,0.62,0.2299
model -1589867511,1589867536.781,0.6,0.2421,0.62,0.2245
model -1589867511,1589867537.137,0.6,0.2269,0.63,0.23
model -1589867511,1589867537.502,0.72,0.213,0.6,0.2351
model -1589867511,1589867537.85,0.58,0.2477,0.68,0.221
model -1589867511,1589867538.141,0.57,0.236,0.64,0.2289
model -1589867511,1589867538.43,0.59,0.2342,0.61,0.2181
model -1589867511,1589867538.719,0.57,0.2405,0.6,0.2352
model -1589867511,1589867539.018,0.63,0.2256,0.71,0.2045
model -1589867511,1589867539.315,0.59,0.2324,0.73,0.1953
model -1589867511,1589867539.559,0.58,0.2401,0.66,0.2228
model -1589867511,1589867539.782,0.6,0.2349,0.69,0.2241
model -1589867511,1589867540.0,0.6,0.2377,0.59,0.2319
model -1589867511,1589867540.204,0.58,0.2425,0.68,0.2156
model -1589867511,1589867540.41,0.59,0.2382,0.57,0.2317
model -1589867511,1589867540.618,0.61,0.2154,0.52,0.241
model -1589867511,1589867540.83,0.67,0.2157,0.58,0.2342
model -1589867511,1589867541.043,0.54,0.2438,0.56,0.2521
model -1589867511,1589867541.33,0.57,0.2249,0.59,0.2243
model -1589867511,1589867541.642,0.54,0.2627,0.62,0.2261
model -1589867511,1589867541.983,0.69,0.2127,0.58,0.2399
model -1589867511,1589867542.313,0.64,0.2183,0.52,0.2576
model -1589867511,1589867542.652,0.54,0.2599,0.61,0.233
model -1589867511,1589867542.98,0.56,0.2337,0.56,0.2372
model -1589867511,1589867543.298,0.62,0.2254,0.51,0.2511
model -1589867511,1589867543.666,0.62,0.2372,0.61,0.2406
model -1589867511,1589867544.04,0.7,0.2081,0.63,0.2391
model -1589867511,1589867544.42,0.54,0.2286,0.57,0.2462
model -1589867511,1589867544.75,0.59,0.2501,0.57,0.2386
model -1589867511,1589867545.08,0.59,0.2472,0.65,0.2283
model -1589867511,1589867545.382,0.54,0.253,0.62,0.2239
model -1589867511,1589867545.679,0.57,0.2245,0.58,0.227
model -1589867511,1589867545.962,0.57,0.244,0.63,0.2306
model -1589867511,1589867546.277,0.56,0.243,0.62,0.2357
model -1589867511,1589867546.581,0.66,0.2254,0.61,0.2321
